"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Franklin City Public Schools, Virginia",8036,1783,630,30,57,142,177,196,18,10,1153,6253,1629,132,122,310,302,209,485,69,4624,7788,1701,537,537,0,0,0,0,1164,1164,0,0,0,0,6087,932,913,19,0,0,0,5155,4994,28,87,46,0,31928,55509,22269,NA,64274,NA,NA,NA,56343,19127,31928,17676,46705,45268,41587,35877,NA,NA,31928,6071,34606,32269,27394,61685,63918,43864,31928,61685,22620,32386,58125,58125,43780,71959,26563,NA,NA,NA,NA,NA,72593,19127,43780,45833,43688,41106,36679,NA,NA,43780,22841,30539,56286,87344,43780,36518,46506,43780,63285,59079,66771,23906,48625,NA,48625,23255,16362,31771,19588,31597,11935,NA,947,NA,NA,10484,31349,35821,3551,1163,476,687,2388,246,2142,3106,1529,1577,2520,1340,1180,352,115,237,0,0,0,146,0,146,14,0,14,74,74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2090,2090,348,248,123,341,332,373,325,0,2090,179,179,0,179,0,1911,1911,1037,0,874,0,3551,2283,1343,940,64,876,1268,1144,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5674,1168,376,376,0,0,0,0,792,780,0,0,12,0,1484,793,784,9,0,0,0,691,691,0,0,0,0,1853,1311,1249,0,62,0,0,542,523,19,0,0,0,1169,794,735,0,25,34,0,375,375,0,0,0,0,1509,1019,155,23,132,0,864,490,307057600,215156000,91901600,1509,1019,225,284,178,91,168,73,490,71,227,134,40,9,9,1384,1424,1327,1509,1019,381,638,490,142,348,8393,3011,2274,679,1941,737,2130,1607,1118,773,523,1500,1302,1044,520,198,845,774,706,192,71,907,852,777,301,55,8539,8317,3375,4871,0,58,0,13,222,0,222,208,0,0,80,120,8,14,0
"Franklin County Public Schools, Virginia",52872,7353,2519,206,124,678,635,685,191,0,4834,45519,8462,457,411,1932,2077,1668,1563,354,37057,51819,7184,2253,1966,278,9,0,0,4931,4675,224,32,0,0,44635,6086,5857,139,78,12,0,38549,37658,528,188,118,57,45624,47097,33388,16667,NA,NA,102628,43947,47647,30096,45624,20401,54827,59225,64326,53190,59441,29955,45624,38366,51167,50798,35176,53455,64121,39085,45624,53455,26556,75833,42778,44028,55970,57540,40655,NA,NA,NA,NA,48068,58389,25483,55970,54618,55154,63616,54464,58224,43542,55970,35511,42688,69351,84736,55970,51159,58485,55970,63389,64094,62726,32967,38750,33506,53333,29315,25678,36231,24557,25463,17494,10673,25054,NA,27534,8345,25836,13165,23358,3040,1559,1481,20318,1461,18857,23381,18730,4651,18721,15006,3715,2783,2187,596,26,26,0,396,299,97,339,181,158,1116,1031,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11400,11352,1754,1107,674,1652,2209,1964,1992,48,11352,842,771,310,461,71,10510,10494,8545,232,1717,16,23358,16857,13789,3068,755,2313,6501,5552,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40071,6938,2148,1935,213,0,0,0,4790,4634,79,77,0,0,13520,7778,7595,168,0,15,0,5742,5655,83,4,0,0,11950,7683,7567,49,58,0,9,4267,4192,47,28,0,0,7663,5214,5016,70,51,59,18,2449,2388,0,0,31,30,18230,10576,2329,589,1740,37,8210,7654,4208936400,2507715600,1701220800,18230,10576,4970,3073,601,743,951,238,7654,3788,1890,495,672,379,430,802,829,769,18230,10576,4062,6514,7654,2435,5219,54752,10908,8156,3543,6892,2752,15149,12844,9330,5926,2305,11438,10189,8668,3468,1249,8044,7710,7333,1498,334,9213,8768,8325,1861,445,56195,55455,50438,4700,70,112,0,135,740,57,683,674,170,177,161,4,162,8,58
"Frederick County Public Schools, Virginia",75231,5198,1834,52,93,274,343,521,248,303,3364,70033,17730,990,930,3866,3965,4422,2867,690,52303,73466,4974,1165,1092,73,0,0,0,3809,3549,240,12,8,0,68492,13364,11935,1025,241,125,38,55128,51113,2689,591,604,131,68424,67961,81250,54886,47120,NA,110251,73917,67560,80357,68424,32082,67059,78317,97745,98047,94063,111013,68424,35239,75628,79830,40777,76915,88162,41889,68424,76915,43937,92027,108125,52750,76530,76826,71591,53523,44352,NA,110293,77845,76737,83601,76530,65311,77925,97000,102759,93867,112069,76530,40982,49927,92437,110430,76530,78632,75274,76530,82455,95022,77262,43863,43594,37375,53267,43903,39622,56628,30112,30818,24717,25406,32119,16933,21643,15344,31546,19265,29172,1732,706,1026,27440,1245,26195,38321,30389,7932,32488,26161,6327,3722,2649,1073,53,53,0,377,220,157,388,282,106,1293,1024,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19550,19453,3014,1792,1282,3072,3432,3504,3357,97,19453,1285,1135,429,706,150,18168,18168,15127,694,2347,0,29172,21660,17651,4009,1126,2883,7512,5645,1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53837,7557,3546,2730,783,11,22,0,4011,3626,244,27,39,75,16302,10583,10226,187,22,134,14,5719,5608,54,40,17,0,15198,11182,10476,410,166,127,3,4016,3856,117,40,3,0,14780,11397,10401,617,234,119,26,3383,3216,47,49,57,14,22852,16705,4065,1039,3026,108,12532,6147,5555708100,4384818200,1170889900,22852,16705,3059,7877,2778,1870,735,386,6147,1798,2234,614,545,173,783,1229,1272,1056,22852,16705,5930,10775,6147,1459,4688,78178,7457,5781,3122,4069,1676,15387,12578,9615,5474,2809,14071,12239,11017,3115,1832,13046,12064,11311,1894,982,28217,27108,26242,2527,1109,79453,78026,72029,3357,115,1053,172,1300,1427,196,1231,1361,588,318,220,0,235,66,0
"Fredericksburg City Public Schools, Virginia",22203,4007,1798,99,63,184,290,75,1053,34,2209,18196,4207,243,236,922,837,689,990,290,13989,21639,3883,651,581,48,22,0,0,3232,2890,242,85,0,15,17756,2689,2303,341,24,21,0,15067,13269,1199,332,188,79,47040,52274,38806,NA,102550,NA,51169,45357,53354,37159,47040,36730,56294,52736,63806,71250,84188,60000,47040,20131,46950,60673,41631,90229,102740,56029,47040,90229,35740,57500,60347,34038,57404,74694,36269,NA,115474,NA,51976,45893,82415,46786,57404,56037,53868,63903,70714,110446,NA,57404,22813,40411,83940,125680,57404,41946,80625,57404,92151,71402,100481,33214,52569,55386,45530,31102,22471,45485,27222,31041,21096,21368,20038,NA,17650,16177,32362,15682,9779,1269,572,697,8510,1034,7476,11404,4586,6818,8384,3274,5110,1568,611,957,389,259,130,507,162,345,197,62,135,359,218,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5219,5168,1264,564,298,915,716,779,632,51,5168,496,496,233,263,0,4672,4672,2820,20,1832,0,9779,5170,3186,1984,357,1627,4609,3715,894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14777,1438,676,328,248,0,83,17,762,716,21,15,10,0,3783,2401,2251,130,13,0,7,1382,1287,95,0,0,0,4370,3464,2921,418,56,26,43,906,804,89,13,0,0,5186,4037,3622,166,189,48,12,1149,1020,62,58,9,0,3721,2735,584,148,436,0,2151,986,1216275500,896031400,320244100,3721,2735,142,586,590,727,644,46,986,68,288,179,176,206,69,1967,2036,1786,3721,2735,1025,1710,986,370,616,23155,5022,4129,2537,2161,893,5495,3802,3212,1263,1693,4620,3480,2967,909,1140,2326,2298,2224,449,28,5692,5528,5347,606,164,25931,25066,16893,6095,110,650,3,1315,865,53,812,754,274,0,298,96,86,111,0
"Galax City Public Schools, Virginia",6422,1576,549,80,0,290,123,56,0,0,1027,4846,877,30,0,226,137,221,211,52,3969,6252,1472,485,426,59,0,0,0,987,860,127,0,0,0,4780,576,561,15,0,0,0,4204,3809,356,33,0,6,30325,30129,45179,NA,NA,NA,NA,50208,30030,47935,30325,15359,51434,40655,66107,24706,NA,NA,30325,36786,32614,31861,22578,38405,47292,31852,30325,38405,18776,37813,NA,NA,47297,46919,102604,NA,NA,NA,NA,NA,46250,48478,47297,47923,46053,66250,19391,NA,NA,47297,20689,39922,66544,56750,47297,40469,49391,47297,58594,67154,55116,22194,11875,2499,24531,24412,20382,31146,21769,21831,34644,15469,NA,NA,NA,5056,23658,10495,3018,703,445,258,2315,251,2064,2709,2002,707,2147,1577,570,277,198,79,48,18,30,21,9,12,53,37,16,163,163,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1546,1546,265,170,0,370,319,178,244,0,1546,478,478,16,462,0,1068,1068,702,72,294,0,3018,1725,1171,554,90,464,1293,1170,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5087,1229,477,371,106,0,0,0,752,736,16,0,0,0,1689,848,637,198,13,0,0,841,822,19,0,0,0,1430,921,840,81,0,0,0,509,509,0,0,0,0,739,526,499,23,4,0,0,213,197,0,16,0,0,1965,953,120,0,120,0,833,1012,255382700,123038900,132343800,1965,953,574,306,32,27,0,14,1012,637,209,0,64,14,88,658,686,633,1965,953,305,648,1012,284,728,6677,2196,1698,610,1490,498,1885,1588,945,1090,297,1341,1198,1100,247,143,561,548,470,185,13,694,648,548,195,46,6977,6790,6532,218,32,8,0,0,187,51,136,187,89,47,0,0,51,0,0
"Giles County Public Schools, Virginia",16409,2177,539,34,0,93,158,131,123,0,1638,14232,2932,119,191,691,695,656,435,145,11300,15991,2095,348,342,0,0,6,0,1747,1659,72,0,16,0,13896,2290,2111,32,147,0,0,11606,11130,59,405,12,0,45141,45600,13333,NA,NA,NA,NA,NA,45600,38750,45141,21130,52048,49583,74528,68869,83750,128214,45141,32500,55428,51809,27006,51264,58365,40543,45141,51264,26975,46741,45921,29556,54697,54941,75357,NA,NA,NA,NA,NA,54941,38750,54697,51878,46613,77438,68929,86000,128214,54697,29452,41905,77250,102054,54697,58480,53996,54697,65919,79083,59304,35540,42760,40882,55956,32826,20694,36979,23485,23951,18327,14948,8080,NA,7115,4313,24102,5100,7167,807,521,286,6360,533,5827,7232,5637,1595,5911,4763,1148,848,641,207,0,0,0,106,58,48,74,54,20,293,121,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,3624,530,418,87,609,725,593,662,1,3621,309,299,107,192,10,3312,3312,2695,93,524,0,7167,4823,3586,1237,315,922,2344,2052,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12095,2355,644,506,0,138,0,0,1711,1570,6,135,0,0,4506,2611,2611,0,0,0,0,1895,1879,9,7,0,0,3230,2162,2129,2,19,12,0,1068,1050,0,18,0,0,2004,1436,1387,21,12,16,0,568,546,0,22,0,0,5442,2814,524,38,486,22,2268,2628,717520200,406554400,310965800,5442,2814,1490,939,156,145,61,23,2628,1500,753,62,135,38,140,739,768,707,5442,2814,1138,1676,2628,572,2056,16943,3414,2470,1104,2185,944,4138,3336,2480,1618,802,3762,3457,3023,1022,305,2744,2674,2631,273,70,2885,2297,2107,366,588,17111,16876,16513,199,60,44,6,54,235,14,221,178,135,29,0,0,14,39,18
"Gloucester County Public Schools, Virginia",35456,3218,992,38,4,176,239,291,159,85,2226,32238,7717,445,221,1395,1655,2060,1610,331,24521,34712,3165,737,730,7,0,0,0,2428,2302,80,46,0,0,31547,5266,5164,81,0,21,0,26281,25540,333,284,124,0,60519,60729,48724,135352,88869,NA,74189,71042,60638,74766,60519,31321,61026,74219,78879,85664,129708,79583,60519,37788,67500,73207,46120,68576,76208,50357,60519,68576,34620,56958,54393,81786,72719,72986,55329,135352,73594,NA,NA,64583,74016,46403,72719,62449,73375,80017,88125,129958,79063,72719,45617,55957,85770,102261,72719,70691,75621,72719,80791,81788,79885,43479,58466,52717,69958,35648,20304,52212,28673,29530,24016,23157,12358,NA,46482,15838,29646,22255,13889,1113,510,603,12776,864,11912,17819,14851,2968,14854,12469,2385,1990,1802,188,48,22,26,196,89,107,199,79,120,532,390,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7892,7882,1109,744,310,1173,1152,1806,1588,10,7882,409,395,153,242,14,7473,7473,5674,491,1308,0,13889,10266,8147,2119,605,1514,3623,2971,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25930,2770,1263,1218,0,23,22,0,1507,1480,0,22,5,0,8546,5494,5343,135,6,10,0,3052,3034,5,13,0,0,8915,6071,5841,113,65,52,0,2844,2705,4,115,20,0,5699,3922,3839,43,40,0,0,1777,1722,37,18,0,0,11519,8237,1808,545,1263,42,6387,3282,2886572600,2139312400,747260200,11519,8237,1246,3709,1545,1186,486,65,3282,741,1264,582,264,279,152,1328,1343,1287,11519,8237,3105,5132,3282,847,2435,36114,4256,3009,1261,2315,1247,6968,5864,5111,2397,1104,7739,6780,6369,1627,959,6677,6130,5905,1009,547,10474,9948,9672,1306,526,36868,36122,32296,3380,148,200,0,98,746,0,746,648,179,192,260,11,6,43,55
"Goochland County Public Schools, Virginia",18737,1038,324,61,0,21,59,125,36,22,714,17699,4012,252,195,863,828,1010,633,231,13687,18398,1005,284,284,0,0,0,0,721,677,44,0,0,0,17393,2977,2810,98,57,0,12,14416,13661,301,326,27,101,80976,88962,45662,NA,NA,NA,NA,NA,89257,63011,80976,32167,90294,84321,110610,108021,168125,93750,80976,NA,86169,92041,58514,86383,100850,67465,80976,86383,38423,38787,38723,NA,92042,105014,58636,NA,NA,NA,NA,NA,105511,63920,92042,88520,84661,110087,107250,168208,NA,92042,62188,75774,110031,107708,92042,105726,88622,92042,104375,109682,96157,51357,58828,NA,61563,50393,50107,53500,45039,52660,17655,66220,42741,NA,1278,10682,53083,23889,8058,410,157,253,7648,321,7327,9438,8393,1045,7946,7021,925,715,627,88,35,24,11,39,37,2,33,33,0,670,651,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4296,4215,598,346,275,690,730,790,786,81,4215,169,152,82,70,17,4046,4046,3430,40,576,0,8058,6394,5710,684,187,497,1664,1468,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16011,2019,497,478,0,19,0,0,1522,1502,15,0,0,5,4047,2010,1907,19,39,0,45,2037,1872,93,49,0,23,3859,2381,2217,109,52,3,0,1478,1422,50,5,1,0,6086,4404,4077,104,156,24,43,1682,1652,15,2,0,13,7271,4950,1288,193,1095,125,3537,2321,3040880400,2133245700,907634700,7271,4950,643,1300,838,1038,1102,29,2321,405,506,389,457,491,73,1798,1809,1774,7271,4950,1817,3133,2321,697,1624,19324,1722,1420,597,1184,302,2507,2108,1756,972,399,3228,3037,2831,819,191,2792,2563,2438,435,229,9075,9044,8814,1204,31,21565,21398,16790,4409,20,143,0,36,167,35,132,165,100,27,0,0,38,2,0
"Grayson County Public Schools, Virginia",14740,2699,670,19,53,104,184,227,83,0,2029,12041,1919,107,63,385,401,585,301,77,10122,14403,2535,562,560,2,0,0,0,1973,1842,131,0,0,0,11868,1478,1448,30,0,0,0,10390,10181,144,65,0,0,30710,30562,39271,NA,NA,NA,NA,NA,31087,21341,30710,16232,35270,54023,52209,27650,51000,NA,30710,20442,47723,37024,24504,35411,47083,29566,30710,35411,20811,32000,32188,32083,40245,39935,58438,NA,NA,NA,NA,NA,40809,21341,40245,35319,54455,52500,22446,NA,NA,40245,22022,34272,60359,65642,40245,34812,41315,40245,48891,54750,43547,21483,27440,27466,27250,19209,16512,27120,20591,20916,17738,NA,NA,NA,18231,5504,21163,10877,6618,1303,846,457,5315,500,4815,6064,4832,1232,4993,3893,1100,771,668,103,34,24,10,28,17,11,70,65,5,168,165,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2895,2894,340,346,103,498,414,557,636,1,2894,341,195,73,122,146,2553,2553,1762,307,484,0,6618,4378,3287,1091,304,787,2240,1956,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11472,2839,802,722,76,4,0,0,2037,1966,49,22,0,0,4335,2464,2463,1,0,0,0,1871,1845,13,13,0,0,3044,1861,1771,77,13,0,0,1183,1173,10,0,0,0,1254,767,724,43,0,0,0,487,474,0,13,0,0,5140,2000,259,43,216,17,1724,3140,654213800,278700700,375513000,5140,2000,1340,372,61,98,51,78,3140,2086,677,85,81,86,125,553,568,541,5140,2000,996,1004,3140,968,2172,15212,4593,3670,1311,3096,923,4446,3885,2376,2245,561,3693,3263,2809,1007,430,1279,1233,1129,258,46,1201,1134,1105,245,67,15377,15292,14791,313,0,4,135,49,85,37,48,85,21,22,5,0,37,0,0
"Greene County Public Schools, Virginia",17536,1906,540,30,4,185,62,180,77,2,1366,15630,3457,276,251,836,832,789,352,121,12173,16995,1793,371,256,115,0,0,0,1422,1121,277,16,0,8,15202,2774,2700,35,32,7,0,12428,11943,189,181,115,0,59358,61834,33935,NA,55000,NA,NA,110130,61449,29098,59358,39099,62910,63417,82660,75391,61953,52059,59358,34781,58470,70746,53309,68250,75558,52034,59358,68250,35786,92228,91576,46705,70074,73377,27908,NA,55000,NA,NA,NA,73004,28445,70074,63496,77802,81250,76172,61016,52059,70074,48889,54514,81119,91576,70074,63828,72635,70074,75275,75132,75310,41094,56042,55375,68929,36192,36389,35179,26998,28348,17130,NA,44333,NA,4077,15632,28678,13329,6897,673,237,436,6224,394,5830,8715,7372,1343,6980,5990,990,1187,965,222,24,20,4,79,75,4,51,32,19,394,290,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4585,4585,885,541,276,889,631,704,659,0,4585,364,350,158,192,14,4221,4221,3508,81,632,0,6897,4974,4012,962,285,677,1923,1443,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12587,2124,1254,988,253,12,0,1,870,849,15,0,3,3,4268,2525,2455,49,0,21,0,1743,1690,0,36,17,0,3167,2271,2205,0,28,34,4,896,877,0,19,0,0,3028,2135,2018,24,66,27,0,893,844,0,36,13,0,5448,4011,987,218,769,0,3024,1437,1364331700,1051252600,313079100,5448,4011,397,1625,775,881,310,23,1437,404,460,207,213,128,25,1439,1488,1251,5448,4011,1584,2427,1437,385,1052,18318,2115,1726,538,1401,389,4232,3249,2510,1507,983,4337,3641,2866,1208,696,2855,2706,2627,407,149,4779,4580,4458,542,199,18577,18063,16382,1170,0,175,28,308,514,1,513,514,229,54,150,28,53,0,0
"Greensville County Public Schools, Virginia",7972,1592,558,15,6,176,234,105,22,0,1034,6380,1158,64,60,281,175,378,180,20,5222,7843,1562,519,500,19,0,0,0,1043,1040,3,0,0,0,6281,901,901,0,0,0,0,5380,5333,6,0,41,0,39697,51475,30591,NA,NA,NA,NA,NA,51639,NA,39697,16615,40833,55515,50208,73107,72788,NA,39697,16250,49773,45580,28694,46038,57704,37707,39697,46038,23245,64500,73542,NA,47517,57591,34070,NA,NA,NA,NA,NA,57880,NA,47517,40123,50880,51389,69375,52917,NA,47517,24453,34390,61579,80341,47517,41053,49301,47517,58981,63438,57552,29375,48482,21250,49375,24613,18576,38063,16380,18700,15258,3516,13115,NA,843,3824,18861,1849,3389,716,371,345,2673,350,2323,3455,2690,765,2879,2282,597,395,233,162,0,0,0,13,13,0,74,68,6,94,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027,2001,424,129,73,363,321,360,331,26,2001,194,179,18,161,15,1807,1795,1012,68,715,12,3389,2545,1626,919,213,706,844,712,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8954,2447,552,549,3,0,0,0,1895,1849,27,0,7,12,3819,1443,1443,0,0,0,0,2376,2304,68,0,0,4,2047,1056,1056,0,0,0,0,991,935,50,0,6,0,641,359,337,6,0,16,0,282,186,0,73,19,4,2568,1240,170,82,88,0,1070,1328,390612100,154449400,236162700,2568,1240,915,265,39,0,8,13,1328,957,258,14,0,21,78,522,558,460,2568,1240,530,710,1328,296,1032,8402,2337,1911,701,1554,426,2072,1789,1362,765,283,2251,2101,1763,659,150,1061,1023,981,138,38,681,627,565,172,54,12078,11991,4605,7254,38,41,0,53,87,41,46,85,15,22,0,7,41,2,0
"Halifax County Public Schools, Virginia",33978,7016,2284,75,138,466,707,628,267,3,4732,26962,5380,285,156,944,1519,1390,927,159,21582,33209,6880,1805,1773,32,0,0,0,5075,4914,149,7,0,5,26329,3968,3881,32,14,41,0,22361,21922,214,115,110,0,34659,38881,25703,NA,51875,NA,30689,145658,39107,21591,34659,18157,42474,56409,65018,38352,51823,50542,34659,16786,36484,46951,24582,43149,56606,32033,34659,43149,20218,49464,48125,28287,45024,53431,31382,NA,50125,NA,30689,NA,53512,30179,45024,40483,55245,62443,42593,33412,51146,45024,21554,32135,71477,76094,45024,40088,48940,45024,56619,68837,53599,22186,27045,30923,24484,20691,15857,30742,20929,23153,17728,17400,23390,NA,5150,17625,22866,20932,14770,2586,1531,1055,12184,1608,10576,13816,10681,3135,11606,9187,2419,1076,725,351,26,24,2,190,182,8,376,126,250,542,437,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7806,7794,1173,769,290,1120,1257,1773,1412,12,7794,621,621,309,312,0,7173,7151,4531,160,2460,22,14770,9658,6722,2936,512,2424,5112,4826,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25461,5377,1524,1451,59,13,0,1,3853,3823,30,0,0,0,8889,4520,4472,14,0,31,3,4369,4306,46,8,9,0,7324,4958,4916,0,37,5,0,2366,2322,30,0,14,0,3871,2870,2792,19,30,28,1,1001,937,18,23,23,0,10672,5206,825,189,636,30,4351,5466,1464530600,793700500,670830000,10672,5206,3387,1100,261,177,167,114,5466,4003,988,179,54,102,140,553,575,528,10672,5206,2045,3161,5466,1551,3915,35100,10372,8163,2990,7087,2209,9232,7726,4883,4358,1506,7135,6121,5158,1911,1014,3655,3382,3111,572,273,4706,4409,4194,711,297,35938,35721,21817,13223,70,188,8,415,217,22,195,205,99,37,13,2,54,7,5
